"","bacteria","timepoint",".y.","group1","group2","p","p.format","p.signif","method","p.adj","p.adj.signif","taxa_level"
"75","Bacteroidales_unclassified","D26","mean","EtOH Male","EtOH Female",0.0359522830111065,"0.03595","*","Wilcoxon",0.215713698066639,"ns","genius"
"76","Bacteroidales_unclassified","D26","mean","Ctl Female","Ctl Male",0.30952380952381,"0.30952","ns","Wilcoxon",0.437562437562438,"ns","genius"
"77","Bacteroidales_unclassified","D26","mean","Ctl Female","EtOH Female",0.146853146853147,"0.14685","ns","Wilcoxon",0.293706293706294,"ns","genius"
"78","Bacteroidales_unclassified","D26","mean","Ctl Male","EtOH Female",0.437562437562438,"0.43756","ns","Wilcoxon",0.437562437562438,"ns","genius"
"79","Bacteroides","D26","mean","EtOH Male","Ctl Female",0.00155400155400155,"0.00155","**","Wilcoxon",0.00466200466200466,"**","genius"
"80","Bacteroides","D26","mean","EtOH Male","Ctl Male",0.00621600621600622,"0.00622","**","Wilcoxon",0.0119047619047619,"*","genius"
"81","Bacteroides","D26","mean","EtOH Male","EtOH Female",0.000575894693541752,"0.00058","***","Wilcoxon",0.00345536816125051,"**","genius"
"82","Bacteroides","D26","mean","Ctl Female","Ctl Male",0.00793650793650794,"0.00794","**","Wilcoxon",0.0119047619047619,"*","genius"
"83","Bacteroides","D26","mean","Ctl Female","EtOH Female",0.898101898101898,"0.89810","ns","Wilcoxon",0.898101898101898,"ns","genius"
"84","Bacteroides","D26","mean","Ctl Male","EtOH Female",0.146853146853147,"0.14685","ns","Wilcoxon",0.176223776223776,"ns","genius"
"85","Bifidobacterium","D26","mean","EtOH Male","Ctl Female",0.00155400155400155,"0.00155","**","Wilcoxon",0.00233100233100233,"**","genius"
"86","Bifidobacterium","D26","mean","EtOH Male","Ctl Male",0.621600621600622,"0.62160","ns","Wilcoxon",0.621600621600622,"ns","genius"
"87","Bifidobacterium","D26","mean","EtOH Male","EtOH Female",8.22706705059646e-05,"8.2e-05","****","Wilcoxon",0.000493624023035788,"***","genius"
"88","Bifidobacterium","D26","mean","Ctl Female","Ctl Male",0.0317460317460317,"0.03175","*","Wilcoxon",0.0380952380952381,"*","genius"
"89","Bifidobacterium","D26","mean","Ctl Female","EtOH Female",0.000999000999000999,"0.00100","***","Wilcoxon",0.001998001998002,"**","genius"
"90","Bifidobacterium","D26","mean","Ctl Male","EtOH Female",0.000999000999000999,"0.00100","***","Wilcoxon",0.001998001998002,"**","genius"
"91","Campylobacter","D26","mean","EtOH Male","Ctl Female",0.0894057315056793,"0.08941","ns","Wilcoxon",0.268217194517038,"ns","genius"
"92","Campylobacter","D26","mean","EtOH Male","Ctl Male",0.277974874223793,"0.27797","ns","Wilcoxon",0.41696231133569,"ns","genius"
"93","Campylobacter","D26","mean","EtOH Male","EtOH Female",0.959486386565679,"0.95949","ns","Wilcoxon",0.959486386565679,"ns","genius"
"94","Campylobacter","D26","mean","Ctl Female","Ctl Male",0.423710797166793,"0.42371","ns","Wilcoxon",0.508452956600152,"ns","genius"
"95","Campylobacter","D26","mean","Ctl Female","EtOH Female",0.0622268952200788,"0.06223","ns","Wilcoxon",0.268217194517038,"ns","genius"
